,review_content,rating
0,  Blazingly fast for a memory card.See speed - image attached.Moving from phone's internal storage to memory card.,5.0 out of 5 stars
1,  totally worst experience from amazon.1st one was not working as i cant use it as an adoptable storage in my device.they replaced with another one .But  same problem cant even format it.. worst experience.When i grab this deal during gr8Indian festival  i was happy. Now i initiated my refund,1.0 out of 5 stars
2,"  After usage of 8 month, the card got write protected. I've tried many ways to remove the protection, all are failure. Really disappointed.",1.0 out of 5 stars
3,  This is genuine Samsung Microsd card manufactured in Philipines an imported by Samsung India. It also carries a Samsung hologram.,5.0 out of 5 stars
4,"  Simply mind blowing product .. flawlessly recording of 4k recording.The write speed of the card is good. If u want to check ur card speed simply buy USB 3 card reader and put ur memory card in it then plug it to usb 3 port of ur laptop or computer what u have. I got write speed of 75 mb/sec and read speed to 90 mb/sec.There is lots of fake card available in online..if u want to purchase card simply ask the seller about it from where is it made from like made in China,Japan, Europe,korea, Philippines or Vietnam.Don't buy made in china very poor quality .Made in Vietnam is super quality but not available in India.Made in Philippines , Japan or Korea is best I have tested and I got good respond on it.",5.0 out of 5 stars
5,"  This is unbelievable, got malfunctioned in 2 weeks to my surprise. Inserted in mobile later and can't read. Took to replace, the guy checked. Result was same except for visibility on desktop, we were left clueless. Replacement on way since a week. Hope it doesn't take ages.",1.0 out of 5 stars
6,"  Not as expected!! Speed is very slow in USB 2 port of the computer.  it's just 10 MBPS write speed.  Took more than 12 mins to copy 3 GB file. My other brand memory card took only 7 mins to copy the same files.Need to check in USB 3 port.In mobile phone it's normal like other memory cards,Max Write speed is 35 MBPS.Max Read speed is 80 MBPS.No Speed performance observed.Just normal memory card like other brands. 1700 Rs is high for this card.Other brands available for less than 1400.",3.0 out of 5 stars
7,  I was having a terrible time with my class4 transcend card so New memory card purchase was inevitable ! As i have more trust - i went for samsung.Got this one for 650rs. Packaging was good for a  small memory card.This card is blazing fast both in read and write😊I got write speed ranging between 15-25 mbps which is awesome ! I could easily transefer the whole Harry potter to my phone within 15 mins.I am super happy with this purchase🖐🏻5 out of 5🖐🏻,5.0 out of 5 stars
8,"  Nothing to say...only WOW... Speed is amazing.. earlier I was using aandil 32 gb class 10 for my samsung note3...while copying items from phone memory to card, I was getting a speed of average 4-5mb speed...Now it's 35-40mb speed... REALLY,BRAND NAME DOES MATTERS...",5.0 out of 5 stars
9,  Original samsung product with samsung logo and what a speed of both read and write speed:Read - 100mbps/sWrite - 60mbps and sometimes more than 60mbps/sIt is also supported well under drone and action cameras like go pro and can capture burst shoot photos very fast without any frame skipping.The transfer rate is also good when you install any apps or games in the SD card. The application performance works well without any slowness or lagging.Just go for it!! You will not be regret afterwards,5.0 out of 5 stars
